"Intersection","Good","Byzantine","Kendall_Mean","Kendall_SD","Spearman_Mean","Spearman_SD"
"B",258,42,0.898525549754786,0.0214929861398218,0.981348118782397,0.0070801791680587
"B",259,41,0.899147427310693,0.0172577560245284,0.981829554061007,0.00468498251246143
"B",260,40,0.903530423861852,0.0180331203975399,0.982625298734879,0.00585332660645917
"B",261,39,0.907742841504418,0.0193952541256414,0.983961496322667,0.00570965383038416
"B",262,38,0.907899922106247,0.0178553281917758,0.984095613207115,0.0051681768934806
"B",263,37,0.911354139830837,0.0189548923054528,0.984763969161809,0.00538554812259562
"B",264,36,0.910666295609153,0.0198795786189758,0.98464052530103,0.00601438136684345
"B",265,35,0.909659329996149,0.0207651634701277,0.984136512265283,0.00623636874403725
"B",266,34,0.910537732085315,0.0188036928324764,0.984603525620775,0.00589420917784308
"B",267,33,0.910930153634487,0.0211848518614338,0.984483745857894,0.0059627607054893
"B",268,32,0.914211270179714,0.0184544797541118,0.985684384798696,0.00521282423701749
"B",269,31,0.915659085046658,0.0156186942705526,0.986198879849338,0.0046527465323139
"B",270,30,0.916543492063492,0.0179796463750999,0.985990691387666,0.00444820623818805
"B",271,29,0.91668071390918,0.0169443504986633,0.986062550776768,0.00473326975441433
"B",272,28,0.915906602641056,0.0182198649801995,0.985871428571429,0.00528148528094685
"B",273,27,0.918741960080736,0.0156236845858628,0.986687218183977,0.00457587889135797
"B",274,26,0.917515983911813,0.0162901410147918,0.986339404666976,0.00488022375446847
"B",275,25,0.922390322820037,0.0169941317813972,0.987922048237477,0.00469786542301918
"B",276,24,0.921858385093168,0.0173666685274865,0.987509974424552,0.00474639287073846
"B",277,23,0.923451911883887,0.0143890821756774,0.987861409979154,0.00439024694912806
"B",278,22,0.923862575245926,0.0150085617159117,0.988159720866764,0.00419166834870528
"B",279,21,0.925070470338673,0.0159005060812491,0.988502280912365,0.00446553385480047
"B",280,20,0.9238472303207,0.0137522250796993,0.988306863316755,0.00389249912777716
"B",281,19,0.92625497857506,0.0129744616631643,0.988802283048451,0.00367141135647595
"B",282,18,0.924754378347084,0.0153759192162482,0.988605150996569,0.00420368644955654
"B",283,17,0.926117083723949,0.0149558963050893,0.989001422759917,0.00411984560482134
"B",284,16,0.926220753089968,0.0156971331387078,0.989063909507465,0.00403567095262826
"B",285,15,0.928083179377014,0.0155042705663268,0.989389554558666,0.00403164835420408
"B",286,14,0.929446439275011,0.0153416091107938,0.989494639813968,0.00398800544869179
"B",287,13,0.93049938135533,0.0136178505921174,0.989938962065662,0.00290008873748135
"B",288,12,0.931081179138322,0.0129696544783192,0.989980298786181,0.00291782358254633
"B",289,11,0.932263766683144,0.0133105946941275,0.990347481276247,0.00314959501975474
"B",290,10,0.930097452498241,0.0151639816209768,0.989645111561866,0.00391243000150039
"B",291,9,0.931180138859668,0.0143599860139198,0.989825558264543,0.00373830973456861
"B",292,8,0.932248029074644,0.0141355806650025,0.990039309970564,0.00379924186493092
"B",293,7,0.932007633906805,0.0139284477455912,0.990140204614269,0.00356249472880236
"B",294,6,0.932108399278079,0.0135769882486572,0.990082792300594,0.00344197560946118
"B",295,5,0.930240996195088,0.0144365362446546,0.989584891041162,0.00399050804851599
"B",296,4,0.933022062879206,0.0127203197893286,0.990249148307972,0.00345877710086421
"B",297,3,0.933606101834673,0.0131663348932659,0.990396695243754,0.00358821410060101
"B",298,2,0.933221093000959,0.0146094400722627,0.99027946856595,0.00383890148003782
"B",299,1,0.935021172616204,0.0129366881107246,0.990778532683977,0.00332253972003362
"B'",201,99,0.752392811452939,0.048192242258234,0.908546640148597,0.0328709632193294
"B'",202,98,0.761805940594059,0.0369148866080567,0.91647645513651,0.0217135273104742
"B'",203,97,0.753178083844375,0.0492493871589177,0.909370468187275,0.03287208596278
"B'",204,96,0.756212244897959,0.0364839879733329,0.911683044982699,0.0250681496294432
"B'",205,95,0.748084181184669,0.0497702103071759,0.905716079992973,0.0334881252892576
"B'",206,94,0.75811785218942,0.0438068982661991,0.912109968647653,0.0295442668546186
"B'",207,93,0.761294764862467,0.0411730661136058,0.91459732414705,0.0283869563835136
"B'",208,92,0.770820251177394,0.042958518609011,0.920238923261612,0.026948805551277
"B'",209,91,0.778215408651499,0.0380427121178907,0.925617208797395,0.0237874983718824
